Company Name,Website,Phone,Street Address,City,State / Province,Country,Zip / Postal Code,Full Address,LinkedIn URL,Industry,Source
Kichton Contracting Ltd.,,'+1 780-447-1882,99 Acheson Rd,,Alberta,Canada,,"99 Acheson Rd, Alberta, Canada",http://www.linkedin.com/company/kichton-contracting-ltd,construction,Apollo
Premier Electrical Technician Inc,http://premierelectrical.ca,+1 403-829-8069,,,Alberta,Canada,T2Z 1Z2,"Alberta, T2Z 1Z2, Canada",,"Commercial, Electrical Distribution, Electronics, Service Industry, Customer Service, Home Services",Ocean
PTW Energy Services,http://www.ptwenergy.com,'+1 281-706-8130,285188 Frontier Rd,,Alberta,Canada,,"285188 Frontier Rd, Alberta, Canada",http://www.linkedin.com/company/ptw-energy,oil & energy,Apollo
Soogadin,http://www.soogadin.com,'+1 780-819-6774,3735 8 St,,Alberta,Canada,,"3735 8 St, Alberta, Canada",http://www.linkedin.com/company/soogadin,facilities services,Apollo
Sureway Construction Group Ltd.,http://www.sureway.ca,'+1 780-440-2121,9175 14th St NW,,Alberta,Canada,,"9175 14th St NW, Alberta, Canada",http://www.linkedin.com/company/sureway-construction-group,construction,Apollo
Urban Life Solutions,http://www.urbanlifesolutions.com,'+1 403-235-5353,Frontier Cres,,Alberta,Canada,,"Frontier Cres, Alberta, Canada",http://www.linkedin.com/company/urbanlifesolutions,consumer services,Apollo
Vertex Resource Group Ltd.,http://www.vertex.ca,'+1 780-464-3295,2055 Premier Way,,Alberta,Canada,,"2055 Premier Way, Alberta, Canada",http://www.linkedin.com/company/vertex-resource-group-ltd-,environmental services,Apollo
ROHL Global Networks,http://rohlglobal.com,"+1 780-569-5300, +1 877-453-1290, +1 561-316-2294",11211-266 Street,Acheson,Alberta,Canada,T7X,"11211-266 Street, Acheson, Alberta, T7X, Canada",https://www.linkedin.com/company/rohl-global-networks-inc,Telecommunications,Ocean
SMS Equipment Inc.,http://www.smsequipment.com,'+1 780-948-2200,53113 Range Road 263a,Acheson,Alberta,Canada,T7X,"53113 Range Road 263a, Acheson, Alberta, T7X, Canada",http://www.linkedin.com/company/sms-equipment,machinery,Apollo
C AND J Electric,http://cjelectric.ca,+1 403-948-8700,East Lake Boulevard NE  151,Airdrie,Alberta,Canada,T4B 3S8,"East Lake Boulevard NE  151, Airdrie, Alberta, T4B 3S8, Canada",https://www.linkedin.com/company/c-&-j-electric-ltd,Construction,Ocean
Evolve Surface Strategies Inc.,http://www.evolvesurface.com,,58 Gateway Dr NE,Airdrie,Alberta,Canada,T4B 3S8,"58 Gateway Dr NE, Airdrie, Alberta, T4B 3S8, Canada",http://www.linkedin.com/company/evolve-surface-strategies-inc-,professional training & coaching,Apollo
JMV Electrical Professionals,http://jmvinc.ca,+1 587-224-2251,162 Windwood Grove SW,Airdrie,Alberta,Canada,T4B 3S8,"162 Windwood Grove SW, Airdrie, Alberta, T4B 3S8, Canada",https://www.linkedin.com/company/jmv-inc-electrical-professionals,Construction,Ocean
Kaptron Services,http://kaptronservices.com,+1 778-928-6072,Windsong Boulevard SW  3101,Airdrie,Alberta,Canada,T4B 3S8,"Windsong Boulevard SW  3101, Airdrie, Alberta, T4B 3S8, Canada",https://www.linkedin.com/company/kaptron-services-ltd,Telecommunications,Ocean
Techmation Electric & Controls Ltd.,http://www.techmationelectric.com,'+1 403-243-0990,117 Kingsview Rd SE,Airdrie,Alberta,Canada,T4B 3S8,"117 Kingsview Rd SE, Airdrie, Alberta, T4B 3S8, Canada",http://www.linkedin.com/company/techmation-electric-&-controls-ltd,oil & energy,Apollo
Bunch Projects,http://bunch.ca,+1 403-729-3335,Se 32-039-5 W5,Alhambra,Alberta,Canada,T4T 1A4,"Se 32-039-5 W5, Alhambra, Alberta, T4T 1A4, Canada",https://www.linkedin.com/company/bunch-welding-limited-bunch-projects,Oil & Energy,Ocean
LCOS,http://lcos.ca,+1 780-675-9613,1-3603 53 Street,Athabasca,Alberta,Canada,T9S 1A9,"1-3603 53 Street, Athabasca, Alberta, T9S 1A9, Canada",https://www.linkedin.com/company/lincoln-county-oilfield-services-ltd,Construction,Ocean
Phoenix Industrial Group of Companies,http://www.phxgroup.tech,'+1 866-778-3130,903 9th Ave,Beaverlodge,Alberta,Canada,T0H 0C0,"903 9th Ave, Beaverlodge, Alberta, T0H 0C0, Canada",http://www.linkedin.com/company/phxgroup,construction,Apollo
Alstar Group,http://www.alstargroup.ca,'+1 403-269-1870,131 9 Ave SW,Calgary,Alberta,Canada,T2E 7K6,"131 9 Ave SW, Calgary, Alberta, T2E 7K6, Canada",http://www.linkedin.com/company/alstargroup,oil & energy,Apollo
AltaGas Ltd.,http://www.altagas.ca,'+1 403-691-7575,355 4 Avenue Southwest,Calgary,Alberta,Canada,T2E 7K6,"355 4 Avenue Southwest, Calgary, Alberta, T2E 7K6, Canada",http://www.linkedin.com/company/altagas,oil & energy,Apollo
AltaLink,http://www.altalink.ca,'+1 403-267-3400,2611 3 Ave SE,Calgary,Alberta,Canada,T2E 7K6,"2611 3 Ave SE, Calgary, Alberta, T2E 7K6, Canada",http://www.linkedin.com/company/altalink,utilities,Apollo
Arete Design Solutions,http://aretedesign.ca,+1 403-716-3461,8 Avenue SW  635,Calgary,Alberta,Canada,T2P 3M3,"8 Avenue SW  635, Calgary, Alberta, T2P 3M3, Canada",https://www.linkedin.com/company/arete-design-solutions-inc,Oil and Gas,Ocean
Arnett & Burgess Energy Services,http://www.abenergyservices.com,,715 5 Ave SW,Calgary,Alberta,Canada,T2E 7K6,"715 5 Ave SW, Calgary, Alberta, T2E 7K6, Canada",http://www.linkedin.com/company/arnett-burgess-energyservices,oil & energy,Apollo
BAAC Construction,http://baacconstruction.com,"+1 587-409-1965, +1 403-710-0295",216 Prestwick Estate Way SE,Calgary,Alberta,Canada,T2Z 4H2,"216 Prestwick Estate Way SE, Calgary, Alberta, T2Z 4H2, Canada",https://www.linkedin.com/company/baac-construction-inc,Construction,Ocean
Badger Infrastructure Solutions,http://www.badgerinc.com,'+1 403-264-8500,635 8 Ave SW,Calgary,Alberta,Canada,T2E 7K6,"635 8 Ave SW, Calgary, Alberta, T2E 7K6, Canada",http://www.linkedin.com/company/badgerinfra,machinery,Apollo
Barqi Services,http://barqi.ca,,4 Street SW,Calgary,Alberta,Canada,T2P 1S7,"4 Street SW, Calgary, Alberta, T2P 1S7, Canada",https://www.linkedin.com/company/barqi,IT Services and IT Consulting,Ocean
BHE Canada,http://bhe-canada.ca,"+1 403-540-6300, +1 587-777-5618, +1 403-200-6885, +1 403-365-7400, +1 403-267-2176, +1 800-242-3447, +1 888-467-4447, +1 866-667-3400",5 Avenue SW  255,Calgary,Alberta,Canada,T2P 3G6,"5 Avenue SW  255, Calgary, Alberta, T2P 3G6, Canada",https://www.linkedin.com/company/bhe-canada,Renewables & Environment,Ocean
BRT Construction Services,http://brtconstruction.com,+1 877-505-1206,80 Avenue SE,Calgary,Alberta,Canada,T2C 1Y7,"80 Avenue SE, Calgary, Alberta, T2C 1Y7, Canada",https://www.linkedin.com/company/brt-construction-services-ltd,Construction,Ocean
Campus Energy Partners,http://campusenergy.ca,+1 587-323-3771,440 2 Ave SW,Calgary,Alberta,Canada,T2P 5E9,"440 2 Ave SW, Calgary, Alberta, T2P 5E9, Canada",https://www.linkedin.com/company/campusenergy,Oil & Energy,Ocean
CANA Group of Companies,http://www.cana.ca,'+1 403-255-5521,5720 4 St SE,Calgary,Alberta,Canada,T2E 7K6,"5720 4 St SE, Calgary, Alberta, T2E 7K6, Canada",http://www.linkedin.com/company/cana-group-of-companies,construction,Apollo
Canadian Power Holdings,http://canadianpower.com,,322 11 Ave SW #801,Calgary,Alberta,Canada,T2E 7K6,"322 11 Ave SW #801, Calgary, Alberta, T2E 7K6, Canada",https://www.linkedin.com/company/canadian-power-holdings,,Bob
Canadian Utilities,http://canadianutilities.com,"+1 403-292-7500, +1 310-4822, +1 800-511-3447, +1 800-668-5506",Forand Street SW  5302,Calgary,Alberta,Canada,T3E 8B4,"Forand Street SW  5302, Calgary, Alberta, T3E 8B4, Canada",https://www.linkedin.com/company/canadian-utilities-ltd,Utilities,Ocean
CDN,http://www.cdncontrols.ca,'+1 587-393-1820,Calgary,Calgary,Alberta,Canada,T2E 7K6,"Calgary, Calgary, Alberta, T2E 7K6, Canada",http://www.linkedin.com/company/cdn-controls,oil & energy,Apollo
Corrpro Canada,http://www.corrprocanada.com,'+1 800-826-7891,Calgary,Calgary,Alberta,Canada,T2E 7K6,"Calgary, Calgary, Alberta, T2E 7K6, Canada",http://www.linkedin.com/company/corrprocanada,information technology & services,Apollo
Direct Energy Canada,http://directenergy.ca,"+1 310-4822, +1 866-374-6299, +1 866-420-3174, +1 855-452-8869, +1 866-867-8167, +1 800-668-5506, +1 403-320-3940, +1 403-514-6100, +1 780-412-4500, +1 866-310-9473",8 Avenue SW  530,Calgary,Alberta,Canada,T2P 3S8,"8 Avenue SW  530, Calgary, Alberta, T2P 3S8, Canada",https://www.linkedin.com/company/direct-energy-canada,Utilities,Ocean
Dobbyn Electrical Services,http://dobbynelectric.com,+1 403-236-8877,44 Street SE,Calgary,Alberta,Canada,Alberta,"44 Street SE, Calgary, Alberta, Alberta, Canada",https://www.linkedin.com/company/dobbyn-electrical-services-ltd,Construction,Ocean
DTD Management,http://dtdmanagement.com,,176 Heritage Isle,Calgary,Alberta,Canada,T1S4J8,"176 Heritage Isle, Calgary, Alberta, T1S4J8, Canada",https://www.linkedin.com/company/dtd-management-inc,Business Consulting and Services,Ocean
Dunwald and Fleming,http://dunwaldandfleming.com,+1 403-277-1331,6 Street NE,Calgary,Alberta,Canada,T2E 3Z7,"6 Street NE, Calgary, Alberta, T2E 3Z7, Canada",https://www.linkedin.com/company/dunwald-and-fleming,Construction,Ocean
Dynamysk Automation Ltd.,http://www.dynamysk.com,'+1 403-513-4100,12175 40 St SE,Calgary,Alberta,Canada,T2E 7K6,"12175 40 St SE, Calgary, Alberta, T2E 7K6, Canada",http://www.linkedin.com/company/dynamysk,management consulting,Apollo
EECOL Electric,http://www.eecol.com,'+1 403-243-5594,63 Sunpark Drive Southeast,Calgary,Alberta,Canada,T2E 7K6,"63 Sunpark Drive Southeast, Calgary, Alberta, T2E 7K6, Canada",http://www.linkedin.com/company/eecol-electric,wholesale,Apollo
ElectriXwest Agencies,http://electrixwest.com,+1 403-386-7427,64 Avenue SE,Calgary,Alberta,Canada,Alberta,"64 Avenue SE, Calgary, Alberta, Alberta, Canada",https://www.linkedin.com/company/electrixwest,"Appliances, Electrical, and Electronics Manufacturing",Ocean
Energy Connections Canada,http://energyconnectionscanada.com,,3 Street SW  505,Calgary,Alberta,Canada,T2P 3E6,"3 Street SW  505, Calgary, Alberta, T2P 3E6, Canada",https://www.linkedin.com/company/energy-connections-canada,Oil and Gas,Ocean
ENMAX,http://www.enmax.com,'+1 403-514-6100,Calgary,Calgary,Alberta,Canada,Alberta,"Calgary, Calgary, Alberta, Alberta, Canada",http://www.linkedin.com/company/enmax,utilities,Apollo
EPFC Corp,http://www.epfccorp.com,'+1 403-541-9400,401 9 Ave SW,Calgary,Alberta,Canada,T2E 7K6,"401 9 Ave SW, Calgary, Alberta, T2E 7K6, Canada",http://www.linkedin.com/company/epfccorp,oil & energy,Apollo
Exterran,,'+1 403-387-6377,Calgary,Calgary,Alberta,Canada,T2E 7K6,"Calgary, Calgary, Alberta, T2E 7K6, Canada",http://www.linkedin.com/company/exterran,oil & energy,Apollo
FortisAlberta,http://www.fortisalberta.com,'+1 3109473,320 17 Avenue Southwest,Calgary,Alberta,Canada,T2E 7K6,"320 17 Avenue Southwest, Calgary, Alberta, T2E 7K6, Canada",http://www.linkedin.com/company/fortisalberta,utilities,Apollo
Gescan,http://www.gescan.com,'+1 877-437-2261,3165 114 Ave SE,Calgary,Alberta,Canada,T2E 7K6,"3165 114 Ave SE, Calgary, Alberta, T2E 7K6, Canada",http://www.linkedin.com/company/gescan,wholesale,Apollo
Hardline Engineering,http://hardlineeng.com,+1 403-703-6076,#6 - 6325 12 Street SE,Calgary,Alberta,Canada,T2H 2K1,"#6 - 6325 12 Street SE, Calgary, Alberta, T2H 2K1, Canada",https://www.linkedin.com/company/hardlineengineering,Utilities,Ocean
HSE Integrated Ltd,http://www.hseintegrated.com,'+1 888-346-8260,Calgary,Calgary,Alberta,Canada,T2E 7K6,"Calgary, Calgary, Alberta, T2E 7K6, Canada",http://www.linkedin.com/company/hse-integrated,oil & energy,Apollo
HV Logic,http://hvlogic.com,,Calgary,Calgary,Alberta,Canada,Alberta,"Calgary, Calgary, Alberta, Alberta, Canada",https://www.linkedin.com/company/hv-logic,Utilities,Ocean
Iconic Power Systems Inc.,http://www.iconicpowersystems.com,'+1 833-502-2150,499 Carmek Blvd,Calgary,Alberta,Canada,T2C 5G9,"499 Carmek Blvd, Calgary, Alberta, T2C 5G9, Canada",http://www.linkedin.com/company/iconic-power-systems,utilities,Apollo
JC Russell Engineering AND Associates,http://jcrusselleng.com,,Calgary,Calgary,Alberta,Canada,Alberta,"Calgary, Calgary, Alberta, Alberta, Canada",https://www.linkedin.com/company/jc-russell-engineering-inc,Utilities,Ocean
Lafarge Canada,http://lafarge.ca,"+1 773-676-4981, +1 773-355-4404, +1 877-371-0008, +41 41 562 34 90",115 Quarry Park Rd SE,Calgary,Alberta,Canada,T2C 5G9,"115 Quarry Park Rd SE, Calgary, Alberta, T2C 5G9, Canada",https://www.linkedin.com/company/lafargecanada,Construction,Ocean
Lanmark,http://www.lanmark.net,'+1 403-536-7341,800 6 Ave SW,Calgary,Alberta,Canada,T2P 3G3,"800 6 Ave SW, Calgary, Alberta, T2P 3G3, Canada",http://www.linkedin.com/company/lanmark-engineering,oil & energy,Apollo
Laselle Consultants,http://laselleconsultants.com,+1 587-880-2927,Macleod Trail SW  5920,Calgary,Alberta,Canada,T2H 0K2,"Macleod Trail SW  5920, Calgary, Alberta, T2H 0K2, Canada",https://www.linkedin.com/company/laselle-consultants,Utilities,Ocean
Maskwa High Voltage an ENTRUST Solutions Group Company,http://maskwahv.com,+1 403-215-4185,10 Avenue SW,Calgary,Alberta,Canada,T3C 0K2,"10 Avenue SW, Calgary, Alberta, T3C 0K2, Canada",https://www.linkedin.com/company/maskwa-high-voltage-ltd,Utilities,Ocean
MasTec Canada,http://www.masteccanada.com,'+1 403-225-8867,333 7 Ave SW,Calgary,Alberta,Canada,T2E 7K6,"333 7 Ave SW, Calgary, Alberta, T2E 7K6, Canada",http://www.linkedin.com/company/masteccanada,construction,Apollo
